,,demturnout,demturnout,demturnout,dem,dem,dem,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
Georgia,CLINCH COUNTY,0.17250455557805225,0.1373923492890046,0.15066559096409843,852,686,747,4939,4993,4958
Georgia,COBB COUNTY,0.25150526441076954,0.2826665678081297,0.3803741570664111,133124,160121,221846,529309,566466,583231
Georgia,COFFEE COUNTY,0.15707895881220102,0.12643997652799654,0.1379173290937997,5057,4094,4511,32194,32379,32708
Georgia,COLQUITT COUNTY,0.11882757589352475,0.10380073137102092,0.12347754283523549,3973,3463,4187,33435,33362,33909
Georgia,COLUMBIA COUNTY,0.16925593645829046,0.17228891483616726,0.2490841242523898,16451,18887,29236,97196,109624,117374
Georgia,COOK COUNTY,0.16487686717803796,0.1381076183723312,0.15904526494670168,2042,1753,2059,12385,12693,12946
Georgia,COWETA COUNTY,0.1580724498728584,0.15766005590310128,0.21471331648263936,15168,16583,24210,95956,105182,112755
Georgia,CRAWFORD COUNTY,0.17510007184645388,0.1468582058701943,0.16314779270633398,1706,1421,1615,9743,9676,9899
Georgia,CRISP COUNTY,0.17859358258613883,0.16424477508249868,0.17543035074319957,3167,2837,2986,17733,17273,17021
Georgia,DADE COUNTY,0.1077181464233911,0.07379932701131844,0.09679152594412035,1411,965,1261,13099,13076,13028
Georgia,DAWSON COUNTY,0.07070419325432999,0.0772307856419009,0.1192154606051887,1241,1448,2486,17552,18749,20853
Georgia,DECATUR COUNTY,0.22362396492937164,0.2053069149200976,0.23904780956191238,4591,4124,4780,20530,20087,19996
Georgia,DEKALB COUNTY,0.43929019920965234,0.44014904517931996,0.5269125832524172,238224,251370,308227,542293,571102,584968
Georgia,DODGE COUNTY,0.1451670431577696,0.11013954602623226,0.13044523222976626,2442,1839,2171,16822,16697,16643
Georgia,DOOLY COUNTY,0.19959818308874913,0.16509392362642208,0.1708080085806221,2285,1872,1911,11448,11339,11188
Georgia,DOUGHERTY COUNTY,0.371955187144595,0.3415981594642517,0.3658979588798404,26295,23311,24577,70694,68241,67169
Georgia,DOUGLAS COUNTY,0.2937543250808209,0.297333064817745,0.39358445116625446,28441,31005,42809,96819,104277,108767
Georgia,EARLY COUNTY,0.34880787183045286,0.28112033195020747,0.3182708632623743,2765,2168,2437,7927,7712,7657
Georgia,ECHOLS COUNTY,0.06038394415357766,0.05407279029462738,0.05636179547755653,173,156,167,2865,2885,2963
Georgia,EFFINGHAM COUNTY,0.12808761845580238,0.11287096474090613,0.16307906799890154,4947,4853,7720,38622,42996,47339
Georgia,ELBERT COUNTY,0.20941408821593152,0.1702313107609789,0.1914992683251297,3181,2539,2879,15190,14915,15034
Georgia,EMANUEL COUNTY,0.17184289320730348,0.14537313432835822,0.16932832315641147,2927,2435,2884,17033,16750,17032
Georgia,EVANS COUNTY,0.16095455699416095,0.14533762057877814,0.16883448099974496,1268,1130,1324,7878,7775,7842
Georgia,FANNIN COUNTY,0.10507772020725388,0.09271938283510126,0.11712984054669703,2028,1923,2571,19300,20740,21950
Georgia,FAYETTE COUNTY,0.24490302406095277,0.27333771600300527,0.3753121452894438,19736,23284,33065,80587,85184,88100
Georgia,FLOYD COUNTY,0.13197524779584907,0.12372679869235134,0.15821442217742468,9640,9159,12008,73044,74026,75897
Georgia,FORSYTH COUNTY,0.11108823933031425,0.14862913034664504,0.2363333967990861,14571,23462,42203,131166,157856,178574
Georgia,FRANKLIN COUNTY,0.08797980983683532,0.07134247833323767,0.08729245438106198,1499,1243,1593,17038,17423,18249
Georgia,FULTON COUNTY,0.3420060912346464,0.3753577606740622,0.4559662353571702,255470,297051,381144,746975,791381,835904
Georgia,GILMER COUNTY,0.08792096991468343,0.0821350944658084,0.11526063369761774,1958,1965,2932,22270,23924,25438
Georgia,GLASCOCK COUNTY,0.07642205818497612,0.06049978079789566,0.0665807560137457,176,138,155,2303,2281,2328
Georgia,GLYNN COUNTY,0.19313131313131313,0.18084501850685752,0.2367702974726012,11950,11775,15879,61875,65111,67065
Georgia,GORDON COUNTY,0.08361082079576113,0.07451044692213998,0.09936761939300529,3440,3181,4384,41143,42692,44119
Georgia,GRADY COUNTY,0.18186170212765956,0.16202409120240913,0.19529437159354596,3419,3013,3619,18800,18596,18531
Georgia,GREENE COUNTY,0.24829351535836178,0.23420455377406837,0.27467580460928576,3201,3199,4088,12892,13659,14883
Georgia,GWINNETT COUNTY,0.22140886678106741,0.25321176137108303,0.3518804147592842,132509,166153,241827,598481,656182,687242
Georgia,HABERSHAM COUNTY,0.0692134155512107,0.0729157489795319,0.1011382667688552,2301,2483,3563,33245,34053,35229
