State,County,Year,Reg_Voters
Ohio,MADISON COUNTY,2020,25827
Ohio,MAHONING COUNTY,2020,165259
Ohio,MARION COUNTY,2020,40262
Ohio,MEDINA COUNTY,2020,130169
Ohio,MEIGS COUNTY,2020,15414
Ohio,MERCER COUNTY,2020,29398
Ohio,MIAMI COUNTY,2020,75470
Ohio,MONROE COUNTY,2020,9572
Ohio,MONTGOMERY COUNTY,2020,372139
Ohio,MORGAN COUNTY,2020,9262
Ohio,MORROW COUNTY,2020,25186
Ohio,MUSKINGUM COUNTY,2020,55078
Ohio,NOBLE COUNTY,2020,8138
Ohio,OTTAWA COUNTY,2020,30442
Ohio,PAULDING COUNTY,2020,12811
Ohio,PERRY COUNTY,2020,22541
Ohio,PICKAWAY COUNTY,2020,36306
Ohio,PIKE COUNTY,2020,18124
Ohio,PORTAGE COUNTY,2020,108884
Ohio,PREBLE COUNTY,2020,28654
Ohio,PUTNAM COUNTY,2020,23859
Ohio,RICHLAND COUNTY,2020,82754
Ohio,ROSS COUNTY,2020,46037
Ohio,SANDUSKY COUNTY,2020,40470
Ohio,SCIOTO COUNTY,2020,46120
Ohio,SENECA COUNTY,2020,34413
Ohio,SHELBY COUNTY,2020,32843
Ohio,STARK COUNTY,2020,252972
Ohio,SUMMIT COUNTY,2020,379673
Ohio,TRUMBULL COUNTY,2020,136895
Ohio,TUSCARAWAS COUNTY,2020,59638
Ohio,UNION COUNTY,2020,41432
Ohio,VAN WERT COUNTY,2020,20291
Ohio,VINTON COUNTY,2020,8627
Ohio,WARREN COUNTY,2020,167606
Ohio,WASHINGTON COUNTY,2020,42774
Ohio,WAYNE COUNTY,2020,74470
Ohio,WILLIAMS COUNTY,2020,25515
Ohio,WOOD COUNTY,2020,93149
Ohio,WYANDOT COUNTY,2020,15491
Pennsylvania,ADAMS COUNTY,2020,72385
Pennsylvania,ALLEGHENY COUNTY,2020,942360
Pennsylvania,ARMSTRONG COUNTY,2020,44826
Pennsylvania,BEAVER COUNTY,2020,116857
Pennsylvania,BEDFORD COUNTY,2020,34244
Pennsylvania,BERKS COUNTY,2020,272253
Pennsylvania,BLAIR COUNTY,2020,80649
Pennsylvania,BRADFORD COUNTY,2020,37298
Pennsylvania,BUCKS COUNTY,2020,488025
Pennsylvania,BUTLER COUNTY,2020,143224
Pennsylvania,CAMBRIA COUNTY,2020,88290
Pennsylvania,CAMERON COUNTY,2020,3113
Pennsylvania,CARBON COUNTY,2020,46997
Pennsylvania,CENTRE COUNTY,2020,112099
Pennsylvania,CHESTER COUNTY,2020,380245
Pennsylvania,CLARION COUNTY,2020,24401
Pennsylvania,CLEARFIELD COUNTY,2020,49734
Pennsylvania,CLINTON COUNTY,2020,22385
Pennsylvania,COLUMBIA COUNTY,2020,39906
Pennsylvania,CRAWFORD COUNTY,2020,56595
Pennsylvania,CUMBERLAND COUNTY,2020,187335
Pennsylvania,DAUPHIN COUNTY,2020,197814
Pennsylvania,DELAWARE COUNTY,2020,425517
Pennsylvania,ELK COUNTY,2020,20586
Pennsylvania,ERIE COUNTY,2020,202624
Pennsylvania,FAYETTE COUNTY,2020,82452
Pennsylvania,FOREST COUNTY,2020,3509
Pennsylvania,FRANKLIN COUNTY,2020,101000
Pennsylvania,FULTON COUNTY,2020,9856
Pennsylvania,GREENE COUNTY,2020,22812
Pennsylvania,HUNTINGDON COUNTY,2020,28430
Pennsylvania,INDIANA COUNTY,2020,51854
Pennsylvania,JEFFERSON COUNTY,2020,32064
