,,repturnout,repturnout,repturnout,gop,gop,gop,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
Georgia,CHARLTON COUNTY,0.23500418487863853,0.2835591428845969,0.312665752171925,2527,2951,3419,10753,10407,10935
Georgia,CHATHAM COUNTY,0.21966383113377883,0.20260035120705253,0.23239073876831207,47204,45688,53237,214892,225508,229084
Georgia,CHATTAHOOCHEE COUNTY,0.08217799642218247,0.09467977811396873,0.10417899846099207,735,751,880,8944,7932,8447
Georgia,CHATTOOGA COUNTY,0.2742178855245951,0.33490541591085776,0.41895261845386533,5452,6462,8064,19882,19295,19248
Georgia,CHEROKEE COUNTY,0.4739176215546609,0.4470367167753093,0.50574625084429,76514,80649,99587,161450,180408,196911
Georgia,CLARKE COUNTY,0.1395299512175415,0.12348879890465231,0.13586133604190767,13815,12717,14446,99011,102981,106329
Georgia,CLAY COUNTY,0.22080592105263158,0.23962743437764605,0.2785308264101443,537,566,637,2432,2362,2287
Georgia,CLAYTON COUNTY,0.07445958448986457,0.06315836792184246,0.07471861799143804,14164,12645,15813,190224,200211,211634
Georgia,CLINCH COUNTY,0.32354727677667544,0.34588423793310635,0.4245663574021783,1598,1727,2105,4939,4993,4958
Georgia,COBB COUNTY,0.3244267526152021,0.2699402965049977,0.2836937679924421,171722,152912,165459,529309,566466,583231
Georgia,COFFEE COUNTY,0.2872584953718084,0.2961178541647364,0.3234071175247646,9248,9588,10578,32194,32379,32708
Georgia,COLQUITT COUNTY,0.27644683714670254,0.2966848510281158,0.34731192308826564,9243,9898,11777,33435,33362,33909
Georgia,COLUMBIA COUNTY,0.42969875303510435,0.39302524994526744,0.42609947688585204,41765,43085,50013,97196,109624,117374
Georgia,COOK COUNTY,0.317723052079128,0.3290002363507445,0.3784952881198826,3935,4176,4900,12385,12693,12946
Georgia,COWETA COUNTY,0.4132414856809371,0.40437527333574186,0.45675136357589463,39653,42533,51501,95956,105182,112755
Georgia,CRAWFORD COUNTY,0.3456840808785795,0.37567176519222817,0.44731791090009093,3368,3635,4428,9743,9676,9899
Georgia,CRISP COUNTY,0.23583150059211638,0.26335899959474324,0.29299101110393044,4182,4549,4987,17733,17273,17021
Georgia,DADE COUNTY,0.34132376517291396,0.3862802080146834,0.46561252686521337,4471,5051,6066,13099,13076,13028
Georgia,DAWSON COUNTY,0.5040451230628988,0.5280281615019468,0.6424974823766365,8847,9900,13398,17552,18749,20853
Georgia,DECATUR COUNTY,0.2836824159766196,0.2996963210036342,0.33796759351870376,5824,6020,6758,20530,20087,19996
Georgia,DEKALB COUNTY,0.11874023821070898,0.09012050386796054,0.09978836449173288,64392,51468,58373,542293,571102,584968
Georgia,DODGE COUNTY,0.30995125430983234,0.300712702880757,0.35107853151475094,5214,5021,5843,16822,16697,16643
Georgia,DOOLY COUNTY,0.1733927323549965,0.17206102830937473,0.19297461565963533,1985,1951,2159,11448,11339,11188
