,,turnout,turnout,turnout,winner,winner,winner,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
year,,2012,2016,2020,2012,2016,2020,2012,2016,2020
Georgia,DODGE COUNTY,0.45969563666627034,0.4197760076660478,0.48488854172925555,red,red,red,16822,16697,16643
Georgia,DOOLY COUNTY,0.3754367575122292,0.3403298350824588,0.36691097604576334,blue,red,red,11448,11339,11188
Georgia,DOUGHERTY COUNTY,0.5363821540724814,0.49950909277413874,0.5257038217034644,blue,blue,blue,70694,68241,67169
Georgia,DOUGLAS COUNTY,0.5708280399508361,0.5536983227365574,0.6352754052240109,blue,blue,blue,96819,104277,108767
Georgia,EARLY COUNTY,0.6752869938185947,0.6204616182572614,0.6774193548387096,blue,red,red,7927,7712,7657
Georgia,ECHOLS COUNTY,0.38464223385689356,0.4097053726169844,0.4863314208572393,red,red,red,2865,2885,2963
Georgia,EFFINGHAM COUNTY,0.5389674278908394,0.5455856358731045,0.6668919918037981,red,red,red,38622,42996,47339
Georgia,ELBERT COUNTY,0.5360763660302831,0.5355011733154542,0.6100172941332979,red,red,red,15190,14915,15034
Georgia,EMANUEL COUNTY,0.47454940409792756,0.4692537313432836,0.5578323156411461,red,red,red,17033,16750,17032
Georgia,EVANS COUNTY,0.4522721502919523,0.4646945337620579,0.5415710277990309,red,red,red,7878,7775,7842
Georgia,FANNIN COUNTY,0.5190155440414508,0.5695274831243973,0.6765375854214123,red,red,red,19300,20740,21950
Georgia,FAYETTE COUNTY,0.726767344608932,0.7150756010518408,0.8171736662883088,red,red,red,80587,85184,88100
Georgia,FLOYD COUNTY,0.449441432561196,0.46751141490827547,0.5487436921090425,red,red,red,73044,74026,75897
Georgia,FORSYTH COUNTY,0.6231111721025265,0.6222189843908372,0.7240975729949489,red,red,red,131166,157856,178574
Georgia,FRANKLIN COUNTY,0.45556990257072427,0.487975664351719,0.5898953367307798,red,red,red,17038,17423,18249
Georgia,FULTON COUNTY,0.5320298537434318,0.5451116466025846,0.627654611055815,blue,blue,blue,746975,791381,835904
