,,total,total,total,dem,dem,dem,gop,gop,gop,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT,turnout,turnout,turnout,winner,winner,winner,repturnout,repturnout,repturnout,demturnout,demturnout,demturnout
Florida,ESCAMBIA COUNTY,148502,152469,170372,58185,57461,70929,88711,88808,96674,239353,246051,252085,0.620430911666033,0.6196642159552288,0.6758513993295913,red,red,red,0.3706283188428806,0.360933302445428,0.38349762976773705,0.24309283777516888,0.2335328854587057,0.28136937937600415
Florida,FLAGLER COUNTY,50595,57503,71716,23207,22026,28161,26969,33850,43043,79694,88616,95954,0.6348658619218511,0.6489008756883633,0.7473997957354566,red,red,red,0.3384069064170452,0.3819851945472601,0.44857952769035164,0.2912013451451803,0.24855556558635009,0.293484377931092
Florida,FRANKLIN COUNTY,5474,6015,6849,1845,1744,2120,3570,4125,4675,9669,9894,10258,0.566139207777433,0.6079442086112795,0.6676740105283681,red,red,red,0.3692212224635433,0.4169193450576107,0.4557418600116982,0.19081600992863793,0.17626844552253892,0.2066679664651979
Florida,GADSDEN COUNTY,22499,22113,23762,15770,15020,16153,6630,6728,7465,35905,35965,35804,0.6266258181311795,0.6148477686639788,0.663668863814099,blue,blue,blue,0.18465394791811726,0.18707076324204086,0.20849625740140768,0.4392145940676786,0.41762824968719586,0.4511507094179421
Florida,GILCHRIST COUNTY,7909,8420,9685,1885,1458,1700,5917,6740,7895,13365,14010,14885,0.5917695473251029,0.6009992862241256,0.6506550218340611,red,red,red,0.4427235316124205,0.48108493932905066,0.5303997312730937,0.14104002992891881,0.10406852248394004,0.11420893516963386
Florida,GLADES COUNTY,3989,4353,5193,1603,1271,1385,2344,2996,3782,10393,11267,11823,0.3838160300202059,0.3863495162865004,0.4392286221771124,red,red,red,0.22553641874338498,0.26590929262447854,0.3198849699737799,0.15423842971230636,0.11280731339309488,0.1171445487608898
Florida,GULF COUNTY,7108,7293,8163,2014,1720,1985,4995,5329,6113,13307,13585,11147,0.5341549560381754,0.5368421052631579,0.7323046559612452,red,red,red,0.37536634853836326,0.3922708870077291,0.5483986722885081,0.15134891410535808,0.12661023187338977,0.17807481833677222
Florida,HAMILTON COUNTY,5407,5460,5830,2228,1904,1963,3138,3443,3815,11930,11558,11684,0.4532271584241408,0.47240006921612737,0.49897295446764806,red,red,red,0.2630343671416597,0.29788890811559093,0.3265148921602191,0.186756077116513,0.16473438311126493,0.16800753166723725
Florida,HARDEE COUNTY,7226,7583,8485,2463,2149,2298,4696,5242,6122,19934,20066,20079,0.36249623758402727,0.37790292036280276,0.4225808058170228,red,red,red,0.23557740543794523,0.26123791488089304,0.3048956621345685,0.12355774054379452,0.10709658128177016,0.11444793067383834
Florida,HENDRY COUNTY,10185,11115,12940,4751,4615,4929,5355,6195,7906,27226,29269,30800,0.3740909424814515,0.3797533226280365,0.42012987012987013,red,red,red,0.19668699037684567,0.21165738494653047,0.2566883116883117,0.17450231396459268,0.15767535617889233,0.16003246753246753
Florida,HERNANDO COUNTY,83667,93796,108922,37830,31795,37519,44938,58970,70412,139478,148492,158562,0.5998580421285077,0.631656924278749,0.6869363403589763,red,red,red,0.3221870115717174,0.397125771085311,0.4440660435665544,0.27122556962388333,0.21411927915308568,0.23662037562593813
Florida,HIGHLANDS COUNTY,42444,45686,52170,16148,14937,16938,25915,29565,34873,80533,84435,88350,0.5270386052922404,0.5410789364599988,0.5904923599320883,red,red,red,0.3217935504699937,0.3501510037306804,0.3947142048670062,0.20051407497547588,0.176905311778291,0.19171477079796265
Florida,HILLSBOROUGH COUNTY,542102,597660,712063,286467,307896,376367,250186,266870,327398,981053,1079573,1146730,0.5525715736050958,0.5536077689975574,0.6209508777131496,blue,blue,blue,0.25501782268643997,0.247199587244216,0.28550574241538984,0.29199951480704917,0.2852016491705517,0.3282089070661795
Florida,HOLMES COUNTY,8274,8514,9068,1264,853,924,6919,7483,8080,15625,15479,15624,0.529536,0.5500355320111119,0.5803891449052739,red,red,red,0.442816,0.48342916209057435,0.5171530977982591,0.080896,0.055106919051618325,0.05913978494623656
Florida,INDIAN RIVER COUNTY,71464,80009,97484,27492,29043,37844,43450,48620,58872,114873,125738,134897,0.6221131162240039,0.6363151950881992,0.7226550627515809,red,red,red,0.37824379967442306,0.38667705864575547,0.4364218626062848,0.2393251677939986,0.23098029235394232,0.28053996753078275
Florida,JACKSON COUNTY,20941,21041,22419,7342,6397,6766,13418,14257,15488,39819,39266,37647,0.525904718852809,0.5358579941934498,0.5955056179775281,red,red,red,0.3369748110198649,0.36308765853410074,0.4114006428135044,0.184384339134584,0.16291448072123466,0.17972215581586845
Florida,JEFFERSON COUNTY,7808,7645,8451,3945,3541,3897,3808,3930,4479,11656,11490,11888,0.6698695950583391,0.665361183637946,0.7108849259757739,blue,red,red,0.3266986959505834,0.34203655352480417,0.3767664872139973,0.338452299245024,0.3081810269799826,0.32780955585464333
Florida,LAFAYETTE COUNTY,3399,3392,3658,687,518,510,2668,2809,3128,6995,6967,6744,0.48591851322373125,0.4868666570977465,0.5424080664294187,red,red,red,0.3814152966404575,0.40318645040907136,0.4638196915776987,0.09821300929235167,0.07435050954499785,0.07562277580071175
Florida,LAKE COUNTY,150811,170462,211314,61799,62838,83505,87643,102188,125859,242179,269170,297740,0.6227253395215935,0.6332875134673255,0.7097266071068717,red,red,red,0.3618934754871397,0.3796411189954304,0.4227144488479882,0.25517902047658964,0.23345097893524538,0.28046281990998856
Florida,LEE COUNTY,266166,326420,393899,110157,124908,157695,154163,191551,233247,521356,591528,637068,0.5105263965505336,0.5518251037989749,0.6182997733365982,red,red,red,0.29569622292636893,0.32382406242815215,0.3661257510972141,0.21128940685443343,0.21116160181766544,0.24753244551602027
Florida,LEON COUNTY,148353,152132,162929,90881,92068,103517,55805,53821,57453,229964,232906,238914,0.6451140178462715,0.6531905575639958,0.681956687343563,blue,blue,blue,0.2426684176653737,0.2310846435901179,0.24047565232677867,0.39519663947400463,0.3953011086017535,0.4332814318122839
Florida,LEVY COUNTY,18399,19395,23145,6119,5101,6205,12054,13775,16749,31647,31965,33437,0.581382121528107,0.6067573908962928,0.6921972665011813,red,red,red,0.38088918380889186,0.4309400907242296,0.5009121631725334,0.19335166050494518,0.15958079149069296,0.18557286837934026
Florida,LIBERTY COUNTY,3284,3296,3561,942,651,694,2301,2543,2846,6634,6770,6902,0.4950256255652698,0.48685376661742985,0.5159374094465372,red,red,red,0.3468495628580042,0.37562776957163957,0.4123442480440452,0.14199577931866145,0.09615952732644018,0.10055056505360765
Florida,MADISON COUNTY,8715,8505,9380,4176,3526,3747,4474,4851,5576,15108,14763,15088,0.5768467037331215,0.5761024182076814,0.6216861081654295,red,red,red,0.29613449827905747,0.3285917496443812,0.3695652173913043,0.2764098490865767,0.238840344103502,0.24834305408271473
Florida,MANATEE COUNTY,153491,178958,216958,66503,71224,90166,85627,101944,124987,266817,304163,330760,0.5752669432607368,0.5883621610781061,0.6559378401257709,red,red,red,0.3209203311633067,0.3351623964782041,0.37787821985729836,0.24924573771536296,0.23416391868833486,0.27260249123231345
Florida,MARION COUNTY,161385,174700,204376,66831,62041,74858,93043,107833,127826,270638,282224,298065,0.5963131563195117,0.6190118487442599,0.685675943166759,red,red,red,0.34379133750618907,0.38208302624865353,0.42885276701390634,0.24693871518412047,0.21982893021146324,0.2511465619915119
Florida,MARTIN COUNTY,78873,85792,98726,30107,30185,36893,48183,53204,61168,123220,131941,134916,0.6400990099009901,0.6502300270575484,0.7317590204275253,red,red,red,0.3910322999513066,0.4032408424977831,0.4533783984108631,0.24433533517286155,0.2287764985864894,0.27345162916184884
